,Unnamed: 0,Unnamed: 0.1,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
1240,1242,1242,2016416,2016,ATL,BOS,1605.928624,1573.581622,0.68175538,0.31824462,102,101,Boston,19,15,31,36,180,30,21,21,30,-210,206,-5,H,2542,4,W ,104.75,99.875,87.875,0.448125,55.625,0.514875,32.25,0.328,19.75,0.774125,89.25,0.408875,62.5,0.432125,26.75,0.344875,25.125,0.699625,1242,2016416,2016,ATL,BOS,1605.928624,1573.581622,0.68175538,0.31824462,102,101,Boston,19,15,31,36,180,30,21,21,30,-210,206,-5,H,2542,4,W ,107.5,105.625,87.25,0.45475,58,0.495,29.25,0.364625,22.625,0.772875,90.625,0.425375,64,0.463375,26.625,0.342625,25.5,0.7755
1241,1241,1241,2016416,2016,GSW,HOU,1788.472611,1550.275157,0.875099595,0.124900405,104,78,Houston,15,18,27,18,800,33,27,22,22,-1400,225,-13,H,2543,0,W ,114.875,103.25,87.5,0.499125,54.625,0.53525,32.875,0.44725,17.125,0.781625,87,0.44875,64.625,0.4855,22.375,0.3485,25.125,0.7115,1241,2016416,2016,GSW,HOU,1788.472611,1550.275157,0.875099595,0.124900405,104,78,Houston,15,18,27,18,800,33,27,22,22,-1400,225,-13,H,2543,0,W ,105.75,101.625,86.75,0.453375,55.625,0.515375,31.125,0.33975,22,0.7425,85.125,0.446125,58.125,0.513625,27,0.300625,26.625,0.6665
1242,1243,1243,2016416,2016,OKC,DAL,1682.811367,1530.825816,0.810082363,0.189917637,108,70,Dallas,11,22,18,19,650,26,33,34,15,-1000,206,-12,H,2544,0,W ,112.25,93.625,86.125,0.491875,58,0.569625,28.125,0.339875,24.875,0.752375,83.625,0.40625,58.625,0.4465,25,0.304625,22.875,0.79775,1243,2016416,2016,OKC,DAL,1682.811367,1530.825816,0.810082363,0.189917637,108,70,Dallas,11,22,18,19,650,26,33,34,15,-1000,206,-12,H,2544,0,W ,101.75,97,78.125,0.467125,49.5,0.518625,28.625,0.374,24.625,0.749625,84.875,0.41575,55.5,0.45525,29.375,0.338375,21.5,0.75775
1243,1240,1240,2016416,2016,TOR,IND,1632.913283,1519.049235,0.774011116,0.225988884,90,100,Indiana,19,24,27,30,275,24,21,22,23,-335,195.5,-7.5,A,2545,5,L ,104.25,99.125,81.375,0.454625,58.375,0.488875,23,0.36275,30.875,0.724125,82.625,0.442375,55.125,0.464375,27.5,0.400375,21.25,0.720375,1240,2016416,2016,TOR,IND,1632.913283,1519.049235,0.774011116,0.225988884,90,100,Indiana,19,24,27,30,275,24,21,22,23,-335,195.5,-7.5,A,2545,5,L ,101.375,99.875,82.5,0.450125,58.875,0.47325,23.625,0.375125,24.875,0.778375,82.75,0.44775,58.625,0.483625,24.125,0.366375,21,0.791875
1244,1244,1244,2016417,2016,CLE,DET,1642.356507,1514.63454,0.787659207,0.212340793,106,101,Detroit,25,33,20,23,600,27,26,23,30,-900,200.5,-11.5,H,2546,17,W ,108.75,101.375,86.25,0.46275,54.125,0.52525,32.125,0.364625,21.875,0.77625,81.75,0.47075,57.25,0.5045,24.5,0.380125,22.375,0.702125,1244,2016417,2016,CLE,DET,1642.356507,1514.63454,0.787659207,0.212340793,106,101,Detroit,25,33,20,23,600,27,26,23,30,-900,200.5,-11.5,H,2546,17,W ,108.75,101.625,88,0.48025,66.125,0.507625,21.875,0.40575,19.75,0.783875,80.75,0.454125,55.5,0.486375,25.25,0.38325,25.625,0.72575
1245,1247,1247,2016417,2016,LAC,POR,1632.683621,1585.557545,0.699921856,0.300078144,115,95,Portland,21,21,24,29,375,26,24,31,34,-450,210.5,-8.5,H,2547,6,W ,106.875,91.75,79.75,0.505125,58.375,0.546625,21.375,0.389,28.5,0.6545,85.375,0.39025,60.125,0.434375,25.25,0.297,23.875,0.72275,1247,2016417,2016,LAC,POR,1632.683621,1585.557545,0.699921856,0.300078144,115,95,Portland,21,21,24,29,375,26,24,31,34,-450,210.5,-8.5,H,2547,6,W ,118,107,83.375,0.528625,62.5,0.544,20.875,0.471125,26.125,0.76225,87.875,0.415,59,0.447,28.875,0.347875,30.375,0.790375
1246,1245,1245,2016417,2016,MIA,CHO,1579.871616,1585.314466,0.632815558,0.367184442,123,91,Charlotte,22,28,24,17,170,41,26,30,26,-190,198.5,-4.5,H,2548,0,W ,112.5,97.5,82.625,0.536,66,0.567,16.625,0.42075,21.75,0.779,78.625,0.45975,59.875,0.493,18.75,0.33825,23.625,0.791375,1245,2016417,2016,MIA,CHO,1579.871616,1585.314466,0.632815558,0.367184442,123,91,Charlotte,22,28,24,17,170,41,26,30,26,-190,198.5,-4.5,H,2548,0,W ,102.125,102.75,84.125,0.461,59.125,0.4835,25,0.386375,20.25,0.76375,80.25,0.444,52.375,0.470375,27.875,0.388625,24.75,0.8465
1247,1246,1246,2016417,2016,SAS,MEM,1766.650681,1453.274827,0.915257073,0.084742927,106,74,Memphis,13,24,14,23,2000,22,26,33,25,-10000,188.5,-17,H,2549,2,W ,100.625,90.25,80.75,0.469625,62,0.496375,18.75,0.376,22,0.8235,80.625,0.446875,59,0.48,21.625,0.374625,14,0.745875,1246,2016417,2016,SAS,MEM,1766.650681,1453.274827,0.915257073,0.084742927,106,74,Memphis,13,24,14,23,2000,22,26,33,25,-10000,188.5,-17,H,2549,2,W ,109.625,96.125,77.875,0.505625,50.875,0.562625,27,0.403875,24.25,0.83025,86.5,0.44425,66.75,0.471625,19.75,0.34775,17.375,0.7155
1248,1250,1250,2016418,2016,GSW,HOU,1792.34926,1546.398508,0.879896732,0.120103268,115,106,Houston,30,28,21,27,350,33,33,20,29,-420,211,-8.5,H,2550,1,W ,114.625,103.375,87.25,0.494625,55.625,0.52925,31.625,0.43775,19.375,0.77675,85.625,0.44575,63.875,0.47675,21.75,0.356875,27.75,0.695375,1250,2016418,2016,GSW,HOU,1792.34926,1546.398508,0.879896732,0.120103268,115,106,Houston,30,28,21,27,350,33,33,20,29,-420,211,-8.5,H,2550,1,W ,104.5,101.25,85.875,0.447,55.75,0.512,30.125,0.32275,24.75,0.722,83.375,0.44375,56.5,0.500625,26.875,0.326625,27.25,0.684625
1249,1249,1249,2016418,2016,OKC,DAL,1691.033896,1522.603288,0.824220944,0.175779056,84,85,Dallas,24,21,14,26,1100,20,23,19,22,-2500,202.5,-14,A,2551,17,L ,110.75,91.875,87.125,0.480375,58.375,0.553875,28.75,0.3395,24,0.7665,83.125,0.405875,58.375,0.44825,24.75,0.295875,22.625,0.756375,1249,2016418,2016,OKC,DAL,1691.033896,1522.603288,0.824220944,0.175779056,84,85,Dallas,24,21,14,26,1100,20,23,19,22,-2500,202.5,-14,A,2551,17,L ,96.25,92.625,78.625,0.448125,51.625,0.504625,27,0.343,24,0.739625,83.125,0.413125,55.75,0.4635,27.375,0.307,21.25,0.72825
