,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
1,1,20151027,2016,ATL,DET,1561.84355,1472.0588,0.748850097,0.251149903,94,106,Detroit,25,23,34,24,255,25,18,23,28,-320,196.5,-7,A,1312,2,L ,,,,,,,,,,,,,,,,,,,1,20151027,2016,ATL,DET,1561.84355,1472.0588,0.748850097,0.251149903,94,106,Detroit,25,23,34,24,255,25,18,23,28,-320,196.5,-7,A,1312,2,L ,,,,,,,,,,,,,,,,,,
0,0,20151027,2016,CHI,CLE,1569.533975,1645.314425,0.534798386,0.465201614,97,95,Cleveland,17,23,28,27,160,26,20,25,26,-180,198.5,-4,H,1313,3,W ,,,,,,,,,,,,,,,,,,,0,20151027,2016,CHI,CLE,1569.533975,1645.314425,0.534798386,0.465201614,97,95,Cleveland,17,23,28,27,160,26,20,25,26,-180,198.5,-4,H,1313,3,W ,,,,,,,,,,,,,,,,,,
2,2,20151027,2016,GSW,NOP,1742.966075,1521.178175,0.864403962,0.135596038,111,95,NewOrleans,35,14,26,20,510,39,20,35,17,-710,215,-10.5,H,1314,6,W ,,,,,,,,,,,,,,,,,,,2,20151027,2016,GSW,NOP,1742.966075,1521.178175,0.864403962,0.135596038,111,95,NewOrleans,35,14,26,20,510,39,20,35,17,-710,215,-10.5,H,1314,6,W ,,,,,,,,,,,,,,,,,,
7,7,20151028,2016,BOS,PHI,1519.678625,1333.391825,0.838620466,0.161379534,112,95,Philadelphia,26,14,27,28,800,21,30,28,33,-1300,198,-12.5,H,1315,2,W ,,,,,,,,,,,,,,,,,,,7,20151028,2016,BOS,PHI,1519.678625,1333.391825,0.838620466,0.161379534,112,95,Philadelphia,26,14,27,28,800,21,30,28,33,-1300,198,-12.5,H,1315,2,W ,,,,,,,,,,,,,,,,,,
5,5,20151028,2016,BRK,CHI,1469.5529,1573.944108,0.49368088,0.50631912,100,115,Chicago,30,28,28,29,-205,19,36,16,29,175,196.5,5,A,1316,0,L ,,,,,,,,,,,,,,,,,,,5,20151028,2016,BRK,CHI,1469.5529,1573.944108,0.49368088,0.50631912,100,115,Chicago,30,28,28,29,-205,19,36,16,29,175,196.5,5,A,1316,0,L ,,,,,,,,,,,,,,,,,,
4,4,20151028,2016,DET,UTA,1492.605998,1542.71405,0.571310787,0.428689213,92,87,Utah,15,29,20,23,-105,16,25,28,23,-115,191,0,H,1317,23,W ,,,,,,,,,,,,,,,,,,,4,20151028,2016,DET,UTA,1492.605998,1542.71405,0.571310787,0.428689213,92,87,Utah,15,29,20,23,-105,16,25,28,23,-115,191,0,H,1317,23,W ,,,,,,,,,,,,,,,,,,
12,12,20151028,2016,HOU,DEN,1617.226925,1443.02135,0.82898548,0.17101452,85,105,Denver,27,26,23,29,510,21,28,14,22,-710,211.5,-10.5,A,1318,0,L ,,,,,,,,,,,,,,,,,,,12,20151028,2016,HOU,DEN,1617.226925,1443.02135,0.82898548,0.17101452,85,105,Denver,27,26,23,29,510,21,28,14,22,-710,211.5,-10.5,A,1318,0,L ,,,,,,,,,,,,,,,,,,
16,16,20151028,2016,LAL,MIN,1338.679625,1324.2185,0.659011268,0.340988732,111,112,Minnesota,22,29,37,24,120,31,29,35,16,-140,202.5,-2.5,A,1319,2,L ,,,,,,,,,,,,,,,,,,,16,20151028,2016,LAL,MIN,1338.679625,1324.2185,0.659011268,0.340988732,111,112,Minnesota,22,29,37,24,120,31,29,35,16,-140,202.5,-2.5,A,1319,2,L ,,,,,,,,,,,,,,,,,,
9,9,20151028,2016,MEM,CLE,1582.509125,1640.904292,0.559589608,0.440410392,76,106,Cleveland,26,27,26,27,185,10,22,23,21,-215,189,-5,A,1320,3,L ,,,,,,,,,,,,,,,,,,,9,20151028,2016,MEM,CLE,1582.509125,1640.904292,0.559589608,0.440410392,76,106,Cleveland,26,27,26,27,185,10,22,23,21,-215,189,-5,A,1320,3,L ,,,,,,,,,,,,,,,,,,
6,6,20151028,2016,MIA,CHO,1468.145075,1426.797875,0.692888856,0.307111144,104,94,Charlotte,27,17,16,34,210,23,31,19,31,-260,193.5,-6.5,H,1321,6,W ,,,,,,,,,,,,,,,,,,,6,20151028,2016,MIA,CHO,1468.145075,1426.797875,0.692888856,0.307111144,104,94,Charlotte,27,17,16,34,210,23,31,19,31,-260,193.5,-6.5,H,1321,6,W ,,,,,,,,,,,,,,,,,,
10,10,20151028,2016,MIL,NYK,1458.70355,1318.01345,0.799876648,0.200123352,97,122,NewYork,27,36,27,32,175,23,28,22,24,-205,194.5,-4.5,A,1322,4,L ,,,,,,,,,,,,,,,,,,,10,20151028,2016,MIL,NYK,1458.70355,1318.01345,0.799876648,0.200123352,97,122,NewYork,27,36,27,32,175,23,28,22,24,-205,194.5,-4.5,A,1322,4,L ,,,,,,,,,,,,,,,,,,
11,11,20151028,2016,OKC,SAS,1563.671375,1666.97255,0.49524937,0.50475063,112,106,SanAntonio,27,28,28,23,165,29,21,29,33,-185,207,-4,H,1323,12,W ,,,,,,,,,,,,,,,,,,,11,20151028,2016,OKC,SAS,1563.671375,1666.97255,0.49524937,0.50475063,112,106,SanAntonio,27,28,28,23,165,29,21,29,33,-185,207,-4,H,1323,12,W ,,,,,,,,,,,,,,,,,,
3,3,20151028,2016,ORL,WAS,1360.168625,1535.828375,0.392805991,0.607194009,87,88,Washington,31,22,12,23,-180,29,22,16,20,160,202.5,4,A,1324,11,L ,,,,,,,,,,,,,,,,,,,3,20151028,2016,ORL,WAS,1360.168625,1535.828375,0.392805991,0.607194009,87,88,Washington,31,22,12,23,-180,29,22,16,20,160,202.5,4,A,1324,11,L ,,,,,,,,,,,,,,,,,,
15,15,20151028,2016,PHO,DAL,1476.3812,1543.68725,0.54691199,0.45308801,95,111,Dallas,24,30,34,23,210,22,23,21,29,-260,203,-6,A,1325,6,L ,,,,,,,,,,,,,,,,,,,15,20151028,2016,PHO,DAL,1476.3812,1543.68725,0.54691199,0.45308801,95,111,Dallas,24,30,34,23,210,22,23,21,29,-260,203,-6,A,1325,6,L ,,,,,,,,,,,,,,,,,,
13,13,20151028,2016,POR,NOP,1543.804175,1518.146137,0.673343362,0.326656638,112,94,NewOrleans,18,25,24,27,105,43,27,17,25,-125,206.5,-2,H,1326,0,W ,,,,,,,,,,,,,,,,,,,13,20151028,2016,POR,NOP,1543.804175,1518.146137,0.673343362,0.326656638,112,94,NewOrleans,18,25,24,27,105,43,27,17,25,-125,206.5,-2,H,1326,0,W ,,,,,,,,,,,,,,,,,,
14,14,20151028,2016,SAC,LAC,1439.96015,1647.157325,0.350446638,0.649553362,104,111,LAClippers,25,31,29,26,-230,17,29,28,30,190,212,5.5,A,1327,4,L ,,,,,,,,,,,,,,,,,,,14,20151028,2016,SAC,LAC,1439.96015,1647.157325,0.350446638,0.649553362,104,111,LAClippers,25,31,29,26,-230,17,29,28,30,190,212,5.5,A,1327,4,L ,,,,,,,,,,,,,,,,,,
8,8,20151028,2016,TOR,IND,1501.545425,1504.903475,0.635599656,0.364400344,106,99,Indiana,30,15,23,31,195,20,17,35,34,-235,199.5,-5.5,H,1328,4,W ,,,,,,,,,,,,,,,,,,,8,20151028,2016,TOR,IND,1501.545425,1504.903475,0.635599656,0.364400344,106,99,Indiana,30,15,23,31,195,20,17,35,34,-235,199.5,-5.5,H,1328,4,W ,,,,,,,,,,,,,,,,,,
17,17,20151029,2016,IND,MEM,1499.212255,1557.195721,0.560173596,0.439826404,103,112,Memphis,29,21,23,39,-145,20,29,26,28,125,191,3,A,1329,20,L ,,,,,,,,,,,,,,,,,,,17,20151029,2016,IND,MEM,1499.212255,1557.195721,0.560173596,0.439826404,103,112,Memphis,29,21,23,39,-145,20,29,26,28,125,191,3,A,1329,20,L ,,,,,,,,,,,,,,,,,,
19,19,20151029,2016,LAC,DAL,1652.588049,1559.477874,0.752433153,0.247566847,104,88,Dallas,17,26,25,20,650,22,29,34,19,-950,212.5,-12,H,1330,2,W ,,,,,,,,,,,,,,,,,,,19,20151029,2016,LAC,DAL,1652.588049,1559.477874,0.752433153,0.247566847,104,88,Dallas,17,26,25,20,650,22,29,34,19,-950,212.5,-12,H,1330,2,W ,,,,,,,,,,,,,,,,,,
