datetime,lead_changes,a_team,h_team,w_l,h_pts,a_pts,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,opp_fg,opp_fga,opp_fg_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct
4/11/2018,3,BOS,BRK,W ,110,97,240,46,102,0.451,40,78,0.513,6,24,0.25,12,15,0.8,37,91,0.407,26,51,0.51,11,40,0.275,12,16,0.75
4/11/2018,1,CHI,DET,L ,87,119,240,32,86,0.372,21,52,0.404,11,34,0.324,12,18,0.667,47,89,0.528,32,54,0.593,15,35,0.429,10,10,1
4/11/2018,2,CLE,NYK,L ,98,110,240,37,94,0.394,31,70,0.443,6,24,0.25,18,28,0.643,43,85,0.506,31,58,0.534,12,27,0.444,12,13,0.923
4/11/2018,7,LAC,LAL,L ,100,115,240,41,83,0.494,35,65,0.538,6,18,0.333,12,28,0.429,42,88,0.477,25,49,0.51,17,39,0.436,14,16,0.875
4/11/2018,25,MIA,TOR,W ,116,109,265,46,106,0.434,35,80,0.438,11,26,0.423,13,20,0.65,42,92,0.457,33,62,0.532,9,30,0.3,16,21,0.762
4/11/2018,8,MIN,DEN,W ,112,106,265,42,89,0.472,33,66,0.5,9,23,0.391,19,25,0.76,41,90,0.456,28,58,0.483,13,32,0.406,11,18,0.611
4/11/2018,1,NOP,SAS,W ,122,98,240,52,88,0.591,47,69,0.681,5,19,0.263,13,19,0.684,37,92,0.402,29,68,0.426,8,24,0.333,16,19,0.842
4/11/2018,2,OKC,MEM,W ,137,123,240,47,85,0.553,27,42,0.643,20,43,0.465,23,32,0.719,44,91,0.484,31,60,0.517,13,31,0.419,22,24,0.917
4/11/2018,13,ORL,WAS,W ,101,92,240,33,77,0.429,20,45,0.444,13,32,0.406,22,27,0.815,33,95,0.347,23,61,0.377,10,34,0.294,16,27,0.593
4/11/2018,0,PHI,MIL,W ,130,95,240,52,105,0.495,37,69,0.536,15,36,0.417,11,15,0.733,37,90,0.411,30,65,0.462,7,25,0.28,14,16,0.875
4/11/2018,1,POR,UTA,W ,102,93,240,41,89,0.461,32,65,0.492,9,24,0.375,11,16,0.688,33,89,0.371,25,66,0.379,8,23,0.348,19,24,0.792
4/11/2018,10,SAC,HOU,W ,96,83,240,38,80,0.475,31,54,0.574,7,26,0.269,13,20,0.65,31,82,0.378,18,36,0.5,13,46,0.283,8,12,0.667
4/10/2018,8,ATL,PHI,L ,113,121,240,41,98,0.418,28,61,0.459,13,37,0.351,18,26,0.692,43,87,0.494,26,50,0.52,17,37,0.459,18,30,0.6
4/10/2018,9,DAL,PHO,L ,97,124,240,37,97,0.381,29,64,0.453,8,33,0.242,15,22,0.682,48,76,0.632,35,50,0.7,13,26,0.5,15,21,0.714
4/10/2018,1,IND,CHO,L ,93,119,240,40,99,0.404,32,68,0.471,8,31,0.258,5,8,0.625,46,99,0.465,28,57,0.491,18,42,0.429,9,12,0.75
4/10/2018,9,LAL,HOU,L ,99,105,240,38,90,0.422,28,54,0.519,10,36,0.278,13,15,0.867,37,88,0.42,21,41,0.512,16,47,0.34,15,16,0.938
4/10/2018,0,UTA,GSW,W ,119,79,240,48,90,0.533,35,55,0.636,13,35,0.371,10,13,0.769,30,86,0.349,25,67,0.373,5,19,0.263,14,16,0.875
4/10/2018,4,WAS,BOS,W ,113,101,240,41,83,0.494,26,53,0.491,15,30,0.5,16,20,0.8,33,87,0.379,20,54,0.37,13,33,0.394,22,27,0.815
4/9/2018,5,BRK,CHI,W ,114,105,240,41,82,0.5,23,40,0.575,18,42,0.429,14,15,0.933,43,89,0.483,31,61,0.508,12,28,0.429,7,12,0.583
4/9/2018,5,DEN,POR,W ,88,82,240,31,83,0.373,25,57,0.439,6,26,0.231,20,26,0.769,31,94,0.33,24,61,0.393,7,33,0.212,13,18,0.722
4/9/2018,4,DET,TOR,L ,98,108,240,35,78,0.449,26,48,0.542,9,30,0.3,19,25,0.76,46,87,0.529,34,48,0.708,12,39,0.308,4,4,1
4/9/2018,5,LAC,NOP,L ,100,113,240,45,98,0.459,43,81,0.531,2,17,0.118,8,19,0.421,44,95,0.463,33,65,0.508,11,30,0.367,14,20,0.7
4/9/2018,3,MIA,OKC,L ,93,115,240,40,87,0.46,35,65,0.538,5,22,0.227,8,14,0.571,35,81,0.432,21,46,0.457,14,35,0.4,31,38,0.816
4/9/2018,14,MIL,ORL,W ,102,86,240,39,91,0.429,30,65,0.462,9,26,0.346,15,18,0.833,34,82,0.415,29,58,0.5,5,24,0.208,13,20,0.65
4/9/2018,6,MIN,MEM,W ,113,94,240,42,87,0.483,35,65,0.538,7,22,0.318,22,26,0.846,35,85,0.412,30,67,0.448,5,18,0.278,19,21,0.905
4/9/2018,5,NYK,CLE,L ,109,123,240,46,87,0.529,35,57,0.614,11,30,0.367,6,12,0.5,40,85,0.471,21,40,0.525,19,45,0.422,24,28,0.857
4/9/2018,5,SAS,SAC,W ,98,85,240,34,82,0.415,28,55,0.509,6,27,0.222,24,29,0.828,33,81,0.407,25,63,0.397,8,18,0.444,11,17,0.647
4/8/2018,3,BOS,ATL,L ,106,112,240,42,82,0.512,33,59,0.559,9,23,0.391,13,20,0.65,43,86,0.5,28,51,0.549,15,35,0.429,11,14,0.786
4/8/2018,1,CHO,IND,L ,117,123,240,40,80,0.5,29,50,0.58,11,30,0.367,26,30,0.867,50,93,0.538,41,68,0.603,9,25,0.36,14,18,0.778
4/8/2018,0,LAL,UTA,L ,97,112,240,37,93,0.398,32,68,0.471,5,25,0.2,18,22,0.818,42,83,0.506,29,47,0.617,13,36,0.361,15,22,0.682
4/8/2018,1,MEM,DET,W ,130,117,240,48,83,0.578,32,50,0.64,16,33,0.485,18,24,0.75,38,93,0.409,15,46,0.326,23,47,0.489,18,23,0.783
4/8/2018,6,PHI,DAL,W ,109,97,240,46,91,0.505,38,64,0.594,8,27,0.296,9,14,0.643,40,94,0.426,29,54,0.537,11,40,0.275,6,13,0.462
4/8/2018,3,PHO,GSW,L ,100,117,240,39,92,0.424,29,57,0.509,10,35,0.286,12,16,0.75,47,90,0.522,34,58,0.586,13,32,0.406,10,15,0.667
4/8/2018,8,TOR,ORL,W ,112,101,240,39,78,0.5,22,38,0.579,17,40,0.425,17,24,0.708,42,89,0.472,35,66,0.53,7,23,0.304,10,17,0.588
4/7/2018,3,CHI,BRK,L ,96,124,240,36,88,0.409,30,59,0.508,6,29,0.207,18,21,0.857,46,92,0.5,22,37,0.595,24,55,0.436,8,11,0.727
4/7/2018,6,GSW,NOP,L ,120,126,240,49,90,0.544,34,57,0.596,15,33,0.455,7,11,0.636,49,87,0.563,38,60,0.633,11,27,0.407,17,22,0.773
4/7/2018,12,HOU,OKC,L ,102,108,240,36,76,0.474,22,39,0.564,14,37,0.378,16,23,0.696,36,91,0.396,26,58,0.448,10,33,0.303,26,33,0.788
4/7/2018,1,LAC,DEN,L ,115,134,240,43,87,0.494,37,70,0.529,6,17,0.353,23,34,0.676,53,85,0.624,41,56,0.732,12,29,0.414,16,23,0.696
