sport,league,game_id,a_team,h_team,cur_time,lms_date,lms_time,quarter,secs,a_pts,h_pts,status,a_win,h_win,last_mod_to_start,last_mod_lines,num_markets,a_ml,h_ml,a_deci_ml,h_deci_ml,a_odds_ps,h_odds_ps,a_deci_ps,h_deci_ps,a_hcap_ps,h_hcap_ps,a_odds_tot,h_odds_tot,a_deci_tot,h_deci_tot,a_hcap_tot,h_hcap_tot,game_start_time
TENN,Madrid Doubles,5351871,W.Koolhof/S.Tsitsipas vs N.Mektic/F.Skugor,W.Koolhof/S.Tsitsipas vs N.Mektic/F.Skugor,1557337589.8566833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557333900.0
TENN,Madrid Doubles,5350764,K.Edmund/N.Skupski vs J.Rojer/H.Tecau,K.Edmund/N.Skupski vs J.Rojer/H.Tecau,1557337589.8567078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557333000.0
VOLL,Serie A1,5336696,Perugia vs Cucine Lube BdM Civitanova,Perugia vs Cucine Lube BdM Civitanova,1557337589.856731,0,0,0,0,0,0,0,0,0,-2976.1530001163483,1557337223.847,7,-200,+145,1.500,2.450,0,0,0,0,0,0,0,0,0,0,0,0,1557340200.0
VOLL,Champion League - Men - Final,5306156,Zenit Kazan vs Cucine Lube BdM Civitanova,Zenit Kazan vs Cucine Lube BdM Civitanova,1557337589.856754,0,0,0,0,0,0,0,0,0,-883410.2219998837,1557315389.778,7,-135,100,1.741,2.00,0,0,0,0,0,0,0,0,0,0,0,0,1558198800.0
VOLL,A1,5339358,Olympiakos vs PAOK,Olympiakos vs PAOK,1557337589.8567715,0,0,0,0,0,0,0,0,0,-105270.03800010681,1557310529.962,6,-475,+300,1.210526,4.00,0,0,0,0,0,0,0,0,0,0,0,0,1557415800.0
VOLL,1st Bundesliga Women,5338715,Schweriner SC W vs Smart Allianz Stuttgart W,Schweriner SC W vs Smart Allianz Stuttgart W,1557337589.8567882,0,0,0,0,0,0,0,0,0,-89850.22000002861,1557329549.78,6,-245,+190,1.408163,2.900,0,0,0,0,0,0,0,0,0,0,0,0,1557419400.0
VOLL,Pro A,5344363,Tours VB vs Chaumont,Tours VB vs Chaumont,1557337589.8568041,0,0,0,0,0,0,0,0,0,-189464.7309999466,1557324435.269,5,-315,+235,1.31746,3.350,0,0,0,0,0,0,0,0,0,0,0,0,1557513900.0
VOLL,Pro A Women,5348316,VB Nantes W vs RC Cannes W,VB Nantes W vs RC Cannes W,1557337589.8568199,0,0,0,0,0,0,0,0,0,-3037.4349999427795,1557335362.565,6,+120,-165,2.200,1.606061,0,0,0,0,0,0,0,0,0,0,0,0,1557338400.0
VOLL,Superliga Masculina,5348167,SESI vs Funvic/Taubaté,SESI vs Funvic/Taubaté,1557337589.8568368,0,0,0,0,0,0,0,0,0,-306175.81299996376,1557314824.187,5,-155,+115,1.645161,2.150,0,0,0,0,0,0,0,0,0,0,0,0,1557621000.0
VOLL,1st Bundesliga,5341324,Berlin Recikling Volleys vs VfB Friedrichshafen,Berlin Recikling Volleys vs VfB Friedrichshafen,1557337589.8568535,0,0,0,0,0,0,0,0,0,4130.482000112534,1557337130.482,10,-950,+550,1.105,6.500,0,0,0,0,0,0,0,0,0,0,0,0,1557333000.0
TENN,Madrid Open Doubles,5351995,I.Bara/M.Buzarnescu vs J.Ostapenko/V.Zvonareva,I.Bara/M.Buzarnescu vs J.Ostapenko/V.Zvonareva,1557337589.8568695,2019-05-07,17:05:49-0400,0,0,0,0,0,0,0,-158858.24300003052,1557316401.757,7,+180,-225,2.800,1.444444,0,0,0,0,0,0,-115,-115,1.870,1.870,19.5,19.5,1557475260.0
