,Unnamed: 0,Unnamed: 0.1,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,2H,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
1235,1235,1235,2017415,2017,CLE,IND,1544.969479,1525.604928,0.665325413,0.334674587,109,108,Indiana,29,30,25,24,425,101.5,32,26,17,-550,208,-9,H,3858,8,W ,109.625,108.375,84.5,0.48225,50.125,0.56525,34.375,0.364625,23,0.66475,86.625,0.475875,57.5,0.527875,29.125,0.367,18.625,0.8245,1235,2017415,2017,CLE,IND,1544.969479,1525.604928,0.665325413,0.334674587,109,108,Indiana,29,30,25,24,425,101.5,32,26,17,-550,208,-9,H,3858,8,W ,114.125,109.125,84.625,0.489,53.75,0.526875,30.875,0.42725,24.5,0.7655,87,0.477375,61.375,0.508,25.625,0.39225,20.125,0.798625
1236,1238,1238,2017415,2017,LAC,UTA,1635.603658,1617.155001,0.66415042,0.33584958,95,97,Utah,22,30,22,23,220,103.5,28,18,25,-260,198.5,-6,A,3859,11,L ,112.5,101.25,80.5,0.494125,53,0.562875,27.5,0.36325,28.5,0.813125,85.375,0.4525,58.875,0.502125,26.5,0.358875,21,0.71125,1238,2017415,2017,LAC,UTA,1635.603658,1617.155001,0.66415042,0.33584958,95,97,Utah,22,30,22,23,220,103.5,28,18,25,-260,198.5,-6,A,3859,11,L ,99.5,98,81.875,0.459375,59.5,0.493625,22.375,0.364,19.375,0.832125,84,0.450875,58.5,0.49925,25.5,0.34125,19.125,0.700875
1237,1237,1237,2017415,2017,SAS,MEM,1661.086921,1482.283149,0.832705391,0.167294609,111,82,Memphis,30,19,15,18,450,94.5,27,32,27,-600,190.5,-9.5,H,3860,5,W ,100.5,94.5,83.75,0.462625,59.875,0.482625,23.875,0.419375,17,0.779625,85.25,0.45075,64.375,0.486875,20.875,0.3465,14.375,0.72875,1237,2017415,2017,SAS,MEM,1661.086921,1482.283149,0.832705391,0.167294609,111,82,Memphis,30,19,15,18,450,94.5,27,32,27,-600,190.5,-9.5,H,3860,5,W ,99.25,91.625,76.875,0.468375,52.25,0.510375,24.625,0.39,23.875,0.755625,84,0.417625,56.25,0.472125,27.75,0.31625,17.375,0.734375
1238,1236,1236,2017415,2017,TOR,MIL,1600.327521,1502.303351,0.757664721,0.242335279,83,97,Milwaukee,30,16,29,22,280,96,29,19,13,-340,197.5,-7.5,A,3861,11,L ,109.75,103.625,84.875,0.47525,61.75,0.49975,23.125,0.4145,26.625,0.74325,84.875,0.441375,57.375,0.483125,27.5,0.350875,24,0.78425,1236,2017415,2017,TOR,MIL,1600.327521,1502.303351,0.757664721,0.242335279,83,97,Milwaukee,30,16,29,22,280,96,29,19,13,-340,197.5,-7.5,A,3861,11,L ,99.625,98.25,82.375,0.435875,53,0.509,29.375,0.299875,24.375,0.75925,79.125,0.479,53.875,0.53975,25.25,0.348375,18.125,0.760125
1239,1241,1241,2017416,2017,BOS,CHI,1586.548998,1518.698213,0.724366778,0.275633222,102,106,Chicago,23,25,26,32,250,103,18,28,28,-300,207,-6.5,A,3862,10,L ,109.75,108.25,86.5,0.448625,51.375,0.527125,35.125,0.32925,26.5,0.777875,88.25,0.44175,61.25,0.502,27,0.30675,26.5,0.848375,1241,2017416,2017,BOS,CHI,1586.548998,1518.698213,0.724366778,0.275633222,102,106,Chicago,23,25,26,32,250,103,18,28,28,-300,207,-6.5,A,3862,10,L ,104.625,107.25,89.875,0.43575,61.5,0.489,28.375,0.31675,21.5,0.779625,89,0.459375,62.375,0.502125,26.625,0.365125,19.125,0.82075
1240,1240,1240,2017416,2017,GSW,POR,1769.61789,1563.283259,0.853635461,0.146364539,121,109,Portland,27,29,32,21,1300,113.5,25,32,33,-3500,220,-15.5,H,3863,22,W ,115.625,102.875,85.625,0.509875,54.125,0.572875,31.5,0.397125,20.25,0.788375,91,0.44,64.125,0.492375,26.875,0.299,19.875,0.71325,1240,2017416,2017,GSW,POR,1769.61789,1563.283259,0.853635461,0.146364539,121,109,Portland,27,29,32,21,1300,113.5,25,32,33,-3500,220,-15.5,H,3863,22,W ,103.125,102.125,83.375,0.465125,60.5,0.504625,22.875,0.3665,23.625,0.735875,84.625,0.433,57.875,0.453875,26.75,0.3835,22.375,0.826125
1241,1242,1242,2017416,2017,HOU,OKC,1601.636708,1542.731146,0.713967898,0.286032102,118,87,OklahomaCity,29,25,20,13,280,112.5,32,30,29,-340,227.5,-7.5,H,3864,14,W ,118.125,111.5,88.5,0.47475,48.375,0.5845,40.125,0.34125,27.125,0.75025,92.875,0.461375,61.125,0.53375,31.75,0.341875,19.5,0.791875,1242,2017416,2017,HOU,OKC,1601.636708,1542.731146,0.713967898,0.286032102,118,87,OklahomaCity,29,25,20,13,280,112.5,32,30,29,-340,227.5,-7.5,H,3864,14,W ,109.375,103.25,84.75,0.481625,56.125,0.551,28.625,0.353125,23.125,0.782125,90.125,0.422375,62.25,0.46925,27.875,0.3105,24.625,0.75225
1242,1239,1239,2017416,2017,WAS,ATL,1587.292796,1478.81584,0.768540763,0.231459237,114,107,Atlanta,29,19,28,31,200,109,20,38,31,-240,209,-5.5,H,3865,2,W ,112.75,108.125,90.25,0.47075,62,0.50175,28.25,0.39775,20,0.8385,82.625,0.478,56.25,0.54425,26.375,0.329875,26.75,0.744625,1239,2017416,2017,WAS,ATL,1587.292796,1478.81584,0.768540763,0.231459237,114,107,Atlanta,29,19,28,31,200,109,20,38,31,-240,209,-5.5,H,3865,2,W ,101.375,98.625,87.5,0.440625,56.125,0.513875,31.375,0.31975,17.125,0.85375,82.25,0.426,56.25,0.455375,26,0.37,23.125,0.822
1243,1243,1243,2017417,2017,CLE,IND,1547.439101,1523.135307,0.671626379,0.328373621,117,111,Indiana,29,29,20,33,380,102.5,31,33,21,-460,209.5,-9,H,3866,3,W ,112.875,111.875,83.25,0.499,49.125,0.582125,34.125,0.382875,23.5,0.70775,86.875,0.488,57.875,0.536875,29,0.38725,19.75,0.827625,1243,2017417,2017,CLE,IND,1547.439101,1523.135307,0.671626379,0.328373621,117,111,Indiana,29,29,20,33,380,102.5,31,33,21,-460,209.5,-9,H,3866,3,W ,114.25,111.625,82.75,0.49625,51.375,0.542875,31.375,0.424125,25.375,0.764875,87.5,0.48975,62.25,0.517125,25.25,0.409625,19.75,0.799625
1244,1244,1244,2017417,2017,SAS,MEM,1666.923105,1476.446965,0.841857611,0.158142389,96,82,Memphis,16,21,28,17,525,92,27,19,21,-750,188.5,-10.5,H,3867,4,W ,99.25,92.5,79,0.463125,55.375,0.486,23.625,0.41825,20,0.807,84.625,0.439125,61.625,0.479625,23,0.341375,14.375,0.72875,1244,2017417,2017,SAS,MEM,1666.923105,1476.446965,0.841857611,0.158142389,96,82,Memphis,16,21,28,17,525,92,27,19,21,-750,188.5,-10.5,H,3867,4,W ,99.875,89,75.625,0.47475,51.5,0.51325,24.125,0.401875,23.625,0.784875,82.75,0.411875,55.125,0.47,27.625,0.304,17,0.738625
