,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,2H,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
0,0,20161025,2017,CLE,NYK,1695.521828,1414.54585,0.899625829,0.100374171,117,88,NewYork,18,27,19,24,355,103.5,20,34,35,-450,206,-9,H,2628,1,W ,,,,,,,,,,,,,,,,,,,0,20161025,2017,CLE,NYK,1695.521828,1414.54585,0.899625829,0.100374171,117,88,NewYork,18,27,19,24,355,103.5,20,34,35,-450,206,-9,H,2628,1,W ,,,,,,,,,,,,,,,,,,
2,2,20161025,2017,GSW,SAS,1692.97925,1695.289874,0.636995012,0.363004988,100,129,SanAntonio,31,33,33,32,325,110,26,31,23,-400,212,-8,A,2629,2,L ,,,,,,,,,,,,,,,,,,,2,20161025,2017,GSW,SAS,1692.97925,1695.289874,0.636995012,0.363004988,100,129,SanAntonio,31,33,33,32,325,110,26,31,23,-400,212,-8,A,2629,2,L ,,,,,,,,,,,,,,,,,,
1,1,20161025,2017,POR,UTA,1584.628972,1530.321395,0.708532169,0.291467831,113,104,Utah,26,20,37,21,195,99.5,28,23,36,-235,192,-5.5,H,2630,11,W ,,,,,,,,,,,,,,,,,,,1,20161025,2017,POR,UTA,1584.628972,1530.321395,0.708532169,0.291467831,113,104,Utah,26,20,37,21,195,99.5,28,23,36,-235,192,-5.5,H,2630,11,W ,,,,,,,,,,,,,,,,,,
5,5,20161026,2017,BOS,BRK,1540.3208,1342.985098,0.847043941,0.152956059,122,117,Brooklyn,31,27,23,36,601,109,31,33,25,-902,212.5,-11.5,H,2631,2,W ,,,,,,,,,,,,,,,,,,,5,20161026,2017,BOS,BRK,1540.3208,1342.985098,0.847043941,0.152956059,122,117,Brooklyn,31,27,23,36,601,109,31,33,25,-902,212.5,-11.5,H,2631,2,W ,,,,,,,,,,,,,,,,,,
3,3,20161026,2017,IND,DAL,1533.109375,1503.293315,0.678586021,0.321413979,130,121,Dallas,21,31,33,30,185,103.5,26,35,21,-215,204.5,-5.5,H,2632,6,W ,,,,,,,,,,,,,,,,,,,3,20161026,2017,IND,DAL,1533.109375,1503.293315,0.678586021,0.321413979,130,121,Dallas,21,31,33,30,185,103.5,26,35,21,-215,204.5,-5.5,H,2632,6,W ,,,,,,,,,,,,,,,,,,
12,12,20161026,2017,LAL,HOU,1332.678135,1527.886672,0.3663136,0.6336864,120,114,Houston,38,33,25,18,-260,1.5,25,27,30,210,225,6,H,2633,9,W ,,,,,,,,,,,,,,,,,,,12,20161026,2017,LAL,HOU,1332.678135,1527.886672,0.3663136,0.6336864,120,114,Houston,38,33,25,18,-260,1.5,25,27,30,210,225,6,H,2633,9,W ,,,,,,,,,,,,,,,,,,
7,7,20161026,2017,MEM,MIN,1455.039799,1434.229488,0.667175999,0.332824001,102,98,Minnesota,32,27,16,23,-120,100,21,26,26,100,199,1.5,H,2634,11,W ,,,,,,,,,,,,,,,,,,,7,20161026,2017,MEM,MIN,1455.039799,1434.229488,0.667175999,0.332824001,102,98,Minnesota,32,27,16,23,-120,100,21,26,26,100,199,1.5,H,2634,11,W ,,,,,,,,,,,,,,,,,,
8,8,20161026,2017,MIL,CHO,1420.050972,1545.519783,0.463412947,0.536587053,96,107,Charlotte,32,24,27,24,-120,97,17,25,30,100,195,1.5,A,2635,0,L ,,,,,,,,,,,,,,,,,,,8,20161026,2017,MIL,CHO,1420.050972,1545.519783,0.463412947,0.536587053,96,107,Charlotte,32,24,27,24,-120,97,17,25,30,100,195,1.5,A,2635,0,L ,,,,,,,,,,,,,,,,,,
10,10,20161026,2017,NOP,DEN,1406.924908,1446.212616,0.586493425,0.413506575,102,107,Denver,30,30,25,22,105,101,24,29,25,-125,206,-1.5,A,2636,4,L ,,,,,,,,,,,,,,,,,,,10,20161026,2017,NOP,DEN,1406.924908,1446.212616,0.586493425,0.413506575,102,107,Denver,30,30,25,22,105,101,24,29,25,-125,206,-1.5,A,2636,4,L ,,,,,,,,,,,,,,,,,,
4,4,20161026,2017,ORL,MIA,1454.0791,1574.216287,0.471052665,0.528947335,96,108,Miami,23,27,30,28,135,99.5,26,16,27,-155,200,-3,A,2637,14,L ,,,,,,,,,,,,,,,,,,,4,20161026,2017,ORL,MIA,1454.0791,1574.216287,0.471052665,0.528947335,96,108,Miami,23,27,30,28,135,99.5,26,16,27,-155,200,-3,A,2637,14,L ,,,,,,,,,,,,,,,,,,
9,9,20161026,2017,PHI,OKC,1278.436303,1684.605999,0.146483204,0.853516796,97,103,OklahomaCity,23,28,18,34,-460,6,27,24,22,365,209.5,9,A,2638,13,L ,,,,,,,,,,,,,,,,,,,9,20161026,2017,PHI,OKC,1278.436303,1684.605999,0.146483204,0.853516796,97,103,OklahomaCity,23,28,18,34,-460,6,27,24,22,365,209.5,9,A,2638,13,L ,,,,,,,,,,,,,,,,,,
11,11,20161026,2017,PHO,SAC,1393.494604,1444.825392,0.569586063,0.430413937,94,113,Sacramento,30,27,27,29,130,107,19,29,27,-150,211.5,-3,A,2639,2,L ,,,,,,,,,,,,,,,,,,,11,20161026,2017,PHO,SAC,1393.494604,1444.825392,0.569586063,0.430413937,94,113,Sacramento,30,27,27,29,130,107,19,29,27,-150,211.5,-3,A,2639,2,L ,,,,,,,,,,,,,,,,,,
6,6,20161026,2017,TOR,DET,1568.89858,1497.029933,0.728960595,0.271039405,109,91,Detroit,23,23,25,20,210,0.5,25,28,23,-260,197,-6,H,2640,1,W ,,,,,,,,,,,,,,,,,,,6,20161026,2017,TOR,DET,1568.89858,1497.029933,0.728960595,0.271039405,109,91,Detroit,23,23,25,20,210,0.5,25,28,23,-260,197,-6,H,2640,1,W ,,,,,,,,,,,,,,,,,,
13,13,20161027,2017,ATL,WAS,1571.053531,1523.722815,0.700169215,0.299830785,114,99,Washington,27,29,24,19,155,101,28,24,33,-175,201.5,-3.5,H,2641,19,W ,,,,,,,,,,,,,,,,,,,13,20161027,2017,ATL,WAS,1571.053531,1523.722815,0.700169215,0.299830785,114,99,Washington,27,29,24,19,155,101,28,24,33,-175,201.5,-3.5,H,2641,19,W ,,,,,,,,,,,,,,,,,,
14,14,20161027,2017,CHI,BOS,1466.563037,1542.059933,0.535204453,0.464795547,105,99,Boston,20,29,24,26,-105,2,27,22,26,-115,208.5,-1,H,2642,2,W ,,,,,,,,,,,,,,,,,,,14,20161027,2017,CHI,BOS,1466.563037,1542.059933,0.535204453,0.464795547,105,99,Boston,20,29,24,26,-105,2,27,22,26,-115,208.5,-1,H,2642,2,W ,,,,,,,,,,,,,,,,,,
15,15,20161027,2017,POR,LAC,1589.679679,1583.757141,0.647881295,0.352118705,106,114,LAClippers,28,30,24,32,-140,105.5,22,33,24,120,210,2.5,A,2643,10,L ,,,,,,,,,,,,,,,,,,,15,20161027,2017,POR,LAC,1589.679679,1583.757141,0.647881295,0.352118705,106,114,LAClippers,28,30,24,32,-140,105.5,22,33,24,120,210,2.5,A,2643,10,L ,,,,,,,,,,,,,,,,,,
16,16,20161027,2017,SAC,SAS,1463.562978,1724.772434,0.283331413,0.716668587,94,102,SanAntonio,27,26,23,26,-360,7.5,28,14,23,295,203,7.5,A,2644,3,L ,,,,,,,,,,,,,,,,,,,16,20161027,2017,SAC,SAS,1463.562978,1724.772434,0.283331413,0.716668587,94,102,SanAntonio,27,26,23,26,-360,7.5,28,14,23,295,203,7.5,A,2644,3,L ,,,,,,,,,,,,,,,,,,
19,19,20161028,2017,BRK,IND,1341.245965,1538.777864,0.363214628,0.636785372,103,94,Indiana,27,21,31,15,-230,6.5,32,20,31,190,218.5,5.5,H,2645,8,W ,,,,,,,,,,,,,,,,,,,19,20161028,2017,BRK,IND,1341.245965,1538.777864,0.363214628,0.636785372,103,94,Indiana,27,21,31,15,-230,6.5,32,20,31,190,218.5,5.5,H,2645,8,W ,,,,,,,,,,,,,,,,,,
22,22,20161028,2017,DAL,HOU,1497.624826,1517.278426,0.6136097,0.3863903,98,106,Houston,24,28,25,29,-130,1,26,17,31,110,218.5,2,A,2646,19,L ,,,,,,,,,,,,,,,,,,,22,20161028,2017,DAL,HOU,1497.624826,1517.278426,0.6136097,0.3863903,98,106,Houston,24,28,25,29,-130,1,26,17,31,110,218.5,2,A,2646,19,L ,,,,,,,,,,,,,,,,,,
