,Unnamed: 0,Unnamed: 0.1,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
1239,1239,1239,2018414,2018,GSW,SAS,1577.964814,1580.171433,0.63713344,0.36286656,113,92,SanAntonio,17,24,22,29,300,28,29,29,27,-400,205.5,-8,H,5167,0,W ,103.5,104.375,85.75,0.48375,61.875,0.50525,23.875,0.42875,13.125,0.800625,84.875,0.476125,58.375,0.508875,26.5,0.404,17.375,0.742625,1239,2018414,2018,GSW,SAS,1577.964814,1580.171433,0.63713344,0.36286656,113,92,SanAntonio,17,24,22,29,300,28,29,29,27,-400,205.5,-8,H,5167,0,W ,113.125,101,84.125,0.5135,58.625,0.58375,25.5,0.371875,23.125,0.7425,87.875,0.4305,65,0.448,22.875,0.37425,22.75,0.727125
1240,1241,1241,2018414,2018,PHI,MIA,1660.410398,1505.736767,0.81245158,0.18754842,130,103,Miami,35,25,18,25,200,29,27,34,40,-250,214,-6,H,5168,9,W ,122.875,104.125,95,0.494875,64,0.54225,31,0.404125,23.125,0.71525,87.875,0.42825,56.25,0.471,31.625,0.3485,26.75,0.6625,1241,2018414,2018,PHI,MIA,1660.410398,1505.736767,0.81245158,0.18754842,130,103,Miami,35,25,18,25,200,29,27,34,40,-250,214,-6,H,5168,9,W ,110.625,104,87.625,0.456875,59.75,0.4785,27.875,0.410125,24.75,0.7565,89.5,0.42425,56.25,0.449375,33.25,0.377625,19.375,0.806125
1241,1242,1242,2018414,2018,POR,NOP,1614.263041,1588.290373,0.673741605,0.326258395,95,97,Neworleans,21,24,30,22,190,18,18,27,32,-240,217,-5,A,5169,10,L ,104.875,99.5,90.125,0.44425,57.875,0.51925,32.25,0.31275,18.5,0.814375,83.5,0.443,59.375,0.458,24.125,0.41125,22.125,0.718375,1242,2018414,2018,POR,NOP,1614.263041,1588.290373,0.673741605,0.326258395,95,97,Neworleans,21,24,30,22,190,18,18,27,32,-240,217,-5,A,5169,10,L ,104.75,107.25,94.375,0.44125,63.5,0.49625,30.875,0.318,15.875,0.72225,90.625,0.475375,64.625,0.515,26,0.379375,14.375,0.81175
1242,1240,1240,2018414,2018,TOR,WAS,1675.616215,1482.671174,0.843740542,0.156259458,114,106,Washington,23,36,26,21,275,28,27,31,28,-350,214,-7.5,H,5170,15,W ,109.375,103.625,85.25,0.48725,52.625,0.528125,32.625,0.423375,17.875,0.721,86.625,0.445125,63.75,0.476125,22.875,0.36425,23.625,0.762,1240,2018414,2018,TOR,WAS,1675.616215,1482.671174,0.843740542,0.156259458,114,106,Washington,23,36,26,21,275,28,27,31,28,-350,214,-7.5,H,5170,15,W ,108.875,98.125,80.5,0.5015,51.25,0.558875,29.25,0.396625,21.625,0.74775,86.125,0.445375,58.625,0.51025,27.5,0.318375,17.5,0.798125
1243,1243,1243,2018415,2018,BOS,MIL,1575.480725,1514.049444,0.716927801,0.283072199,113,107,Milwaukee,17,30,19,33,143,29,15,26,29,-163,199,-3.5,H,5171,12,W ,108.875,105.25,89.25,0.4635,61.375,0.506625,27.875,0.379375,20.75,0.755875,86.125,0.4605,55.875,0.511875,30.25,0.383875,20,0.74925,1243,2018415,2018,BOS,MIL,1575.480725,1514.049444,0.716927801,0.283072199,113,107,Milwaukee,17,30,19,33,143,29,15,26,29,-163,199,-3.5,H,5171,12,W ,114,112.25,90.75,0.465375,63.25,0.48775,27.5,0.421125,22.5,0.826875,89.625,0.47625,63.875,0.510625,25.75,0.389375,20.5,0.839125
1244,1244,1244,2018415,2018,CLE,IND,1552.252717,1556.721843,0.634117011,0.365882989,80,98,Indiana,33,22,18,25,296,14,24,27,15,-370,212.5,-7,A,5172,0,L ,108.25,105.25,84.25,0.47575,57,0.51825,27.25,0.3925,24,0.744625,86.875,0.471,57.5,0.5175,29.375,0.381875,15.75,0.79725,1244,2018415,2018,CLE,IND,1552.252717,1556.721843,0.634117011,0.365882989,80,98,Indiana,33,22,18,25,296,14,24,27,15,-370,212.5,-7,A,5172,0,L ,97.5,99.875,82,0.45775,54.25,0.527375,27.75,0.3295,17.75,0.73225,85.375,0.452,61.625,0.49125,23.75,0.358125,18.75,0.7705
1245,1246,1246,2018415,2018,HOU,MIN,1732.213741,1551.421614,0.834293819,0.165706181,104,101,Minnesota,21,26,25,29,797,27,27,22,28,-1300,215,-11.5,H,5173,12,W ,109.5,98.25,84.125,0.471,40.25,0.60425,43.875,0.349875,20.75,0.73625,85.625,0.44125,56.5,0.506375,29.125,0.325125,18.875,0.735875,1246,2018415,2018,HOU,MIN,1732.213741,1551.421614,0.834293819,0.165706181,104,101,Minnesota,21,26,25,29,797,27,27,22,28,-1300,215,-11.5,H,5173,12,W ,105.5,104.5,86.875,0.453875,57.375,0.517,29.5,0.339125,22,0.765125,86.625,0.447625,64.125,0.487,22.5,0.3485,24.5,0.811375
1246,1245,1245,2018415,2018,OKC,UTA,1619.559364,1686.339186,0.547662519,0.452337481,116,108,Utah,25,23,24,36,151,25,29,27,35,-175,205,-4,H,5174,4,W ,115.25,111.125,89.625,0.45475,55.25,0.5005,34.375,0.379,27.5,0.759625,88.875,0.465625,58.75,0.519,30.125,0.36325,20.875,0.8355,1245,2018415,2018,OKC,UTA,1619.559364,1686.339186,0.547662519,0.452337481,116,108,Utah,25,23,24,36,151,25,29,27,35,-175,205,-4,H,5174,4,W ,104.75,112.375,89.75,0.453375,66.375,0.4765,23.375,0.3775,17.375,0.836125,86.625,0.483875,57.625,0.53725,29,0.38825,22.375,0.801625
1247,1248,1248,2018416,2018,GSW,SAS,1589.371812,1568.764435,0.666916551,0.333083449,116,101,SanAntonio,25,28,22,26,450,23,24,33,36,-650,206,-9,H,5175,11,W ,106.375,104.75,85.375,0.497,60.875,0.524375,24.5,0.4315,13.375,0.829125,85.125,0.473375,59,0.524,26.125,0.365375,19,0.766875,1248,2018416,2018,GSW,SAS,1589.371812,1568.764435,0.666916551,0.333083449,116,101,SanAntonio,25,28,22,26,450,23,24,33,36,-650,206,-9,H,5175,11,W ,114.625,101.875,83.25,0.521875,57.375,0.58925,25.875,0.38775,22.625,0.777875,87.75,0.423875,63.875,0.459125,23.875,0.329625,25.625,0.76825
1248,1247,1247,2018416,2018,PHI,MIA,1666.723559,1499.423606,0.823275987,0.176724013,103,113,Miami,22,34,30,27,250,29,13,33,28,-310,217,-6.5,A,5176,4,L ,120.75,104.75,96,0.487375,65.125,0.539875,30.875,0.3845,21.375,0.72625,86.125,0.441125,54.25,0.485875,31.875,0.360875,25.75,0.670375,1247,2018416,2018,PHI,MIA,1666.723559,1499.423606,0.823275987,0.176724013,103,113,Miami,22,34,30,27,250,29,13,33,28,-310,217,-6.5,A,5176,4,L ,109.125,105.75,89.25,0.45175,61.375,0.483375,27.875,0.38575,23.75,0.74325,88.375,0.431625,55.875,0.457,32.5,0.38225,21.125,0.820125
