,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
0,0,20171017,2018,CLE,BOS,1647.989805,1532.470014,0.775673942,0.224326058,102,99,Boston,19,19,33,28,166,29,25,18,30,-195,216,-4.5,H,3937,11,W ,,,,,,,,,,,,,,,,,,,0,20171017,2018,CLE,BOS,1647.989805,1532.470014,0.775673942,0.224326058,102,99,Boston,19,19,33,28,166,29,25,18,30,-195,216,-4.5,H,3937,11,W ,,,,,,,,,,,,,,,,,,
1,1,20171017,2018,GSW,HOU,1760.609663,1574.467471,0.838507776,0.161492224,121,122,Houston,34,28,26,34,364,35,36,30,20,-470,231.5,-9,A,3938,2,L ,,,,,,,,,,,,,,,,,,,1,20171017,2018,GSW,HOU,1760.609663,1574.467471,0.838507776,0.161492224,121,122,Houston,34,28,26,34,364,35,36,30,20,-470,231.5,-9,A,3938,2,L ,,,,,,,,,,,,,,,,,,
6,6,20171018,2018,BOS,MIL,1530.330635,1507.576025,0.669656603,0.330343397,100,108,Milwaukee,24,34,18,32,105,26,27,27,20,-125,203,-1.5,A,3939,14,L ,,,,,,,,,,,,,,,,,,,6,20171018,2018,BOS,MIL,1530.330635,1507.576025,0.669656603,0.330343397,100,108,Milwaukee,24,34,18,32,105,26,27,27,20,-125,203,-1.5,A,3939,14,L ,,,,,,,,,,,,,,,,,,
8,8,20171018,2018,DAL,ATL,1441.319759,1486.280704,0.578551571,0.421448429,111,117,Atlanta,27,31,24,35,190,24,23,35,29,-240,199,-5.5,A,3940,18,L ,,,,,,,,,,,,,,,,,,,8,20171018,2018,DAL,ATL,1441.319759,1486.280704,0.578551571,0.421448429,111,117,Atlanta,27,31,24,35,190,24,23,35,29,-240,199,-5.5,A,3940,18,L ,,,,,,,,,,,,,,,,,,
4,4,20171018,2018,DET,CHO,1456.654984,1473.216401,0.617821332,0.382178668,102,90,Charlotte,27,18,25,20,125,29,27,26,20,-145,202,-2.5,H,3941,2,W ,,,,,,,,,,,,,,,,,,,4,20171018,2018,DET,CHO,1456.654984,1473.216401,0.617821332,0.382178668,102,90,Charlotte,27,18,25,20,125,29,27,26,20,-145,202,-2.5,H,3941,2,W ,,,,,,,,,,,,,,,,,,
5,5,20171018,2018,IND,BRK,1502.884837,1405.034022,0.757481449,0.242518551,140,131,Brooklyn,30,33,35,33,135,29,36,41,34,-155,216.5,-3,H,3942,10,W ,,,,,,,,,,,,,,,,,,,5,20171018,2018,IND,BRK,1502.884837,1405.034022,0.757481449,0.242518551,140,131,Brooklyn,30,33,35,33,135,29,36,41,34,-155,216.5,-3,H,3942,10,W ,,,,,,,,,,,,,,,,,,
7,7,20171018,2018,MEM,NOP,1489.244989,1488.065591,0.641627607,0.358372393,103,91,Neworleans,34,18,18,21,110,27,27,25,24,-130,204.5,-2,H,3943,8,W ,,,,,,,,,,,,,,,,,,,7,20171018,2018,MEM,NOP,1489.244989,1488.065591,0.641627607,0.358372393,103,91,Neworleans,34,18,18,21,110,27,27,25,24,-130,204.5,-2,H,3943,8,W ,,,,,,,,,,,,,,,,,,
3,3,20171018,2018,ORL,MIA,1390.229357,1552.809706,0.410901119,0.589098881,116,109,Miami,37,18,23,31,-170,32,26,30,28,145,205.5,3.5,H,3944,3,W ,,,,,,,,,,,,,,,,,,,3,20171018,2018,ORL,MIA,1390.229357,1552.809706,0.410901119,0.589098881,116,109,Miami,37,18,23,31,-170,32,26,30,28,145,205.5,3.5,H,3944,3,W ,,,,,,,,,,,,,,,,,,
12,12,20171018,2018,PHO,POR,1381.18771,1531.171234,0.428560108,0.571439892,76,124,Portland,29,31,38,26,-140,21,14,20,21,120,219.5,2.5,A,3945,3,L ,,,,,,,,,,,,,,,,,,,12,20171018,2018,PHO,POR,1381.18771,1531.171234,0.428560108,0.571439892,76,124,Portland,29,31,38,26,-140,21,14,20,21,120,219.5,2.5,A,3945,3,L ,,,,,,,,,,,,,,,,,,
11,11,20171018,2018,SAC,HOU,1420.99186,1583.258119,0.411338849,0.588661151,100,105,Houston,26,26,23,30,-310,25,23,24,28,250,216.5,7,A,3946,8,L ,,,,,,,,,,,,,,,,,,,11,20171018,2018,SAC,HOU,1420.99186,1583.258119,0.411338849,0.588661151,100,105,Houston,26,26,23,30,-310,25,23,24,28,250,216.5,7,A,3946,8,L ,,,,,,,,,,,,,,,,,,
