,lead_changes,h_Avg_pts,h_Avg_pts_alwd,h_fga,h_fg_pct,h_fg2a,h_fg2_pct,h_fg3a,h_fg3_pct,h_fta,h_ft_pct,h_opp_fga,h_opp_fg_pct,h_opp_fg2a,h_opp_fg2_pct,h_opp_fg3a,h_opp_fg3_pct,h_opp_fta,result,home_id1,opp_id_x,Date1,lead_changes,Avg_pts_alwd,Avg_pts,fg,fga,fg_pct,fg2a,fg2_pct,fg3a,fg3_pct,fta,opp_fga,opp_fg_pct,opp_fg2a,opp_fg2_pct,opp_fg3a,opp_fg3_pct,opp_fta,opp_ft_pct,home_id,opp_id_x,Date,season,neutral,opp_id_y,elo1_pre,elo2_pre,elo_prob1,elo_prob2,score1,score2
0,,,,,,,,,,,,,,,,,,,L,LAL,HOU,10/28/14,,,,,,,,,,,,,,,,,,,,LAL,HOU,10/28/14,2015,0,HOU,1421.9985,1596.4641,0.394446726,0.605553274,90,108
1,,,,,,,,,,,,,,,,,,,W,NOP,ORL,10/28/14,,,,,,,,,,,,,,,,,,,,NOP,ORL,10/28/14,2015,0,ORL,1457.2185,1359.4265,0.757419248,0.242580752,101,84
2,,,,,,,,,,,,,,,,,,,W,SAS,DAL,10/28/14,,,,,,,,,,,,,,,,,,,,SAS,DAL,10/28/14,2015,0,DAL,1699.5024,1592.0101,0.767530947,0.232469053,101,100
3,,,,,,,,,,,,,,,,,,,W,BOS,BRK,10/29/14,,,,,,,,,,,,,,,,,,,,BOS,BRK,10/29/14,2015,0,BRK,1378.5464,1518.2666,0.443085777,0.556914223,121,105
4,,,,,,,,,,,,,,,,,,,W,CHO,MIL,10/29/14,,,,,,,,,,,,,,,,,,,,CHO,MIL,10/29/14,2015,0,MIL,1511.0031,1317.8491,0.843899065,0.156100935,108,106
5,,,,,,,,,,,,,,,,,,,W,DEN,DET,10/29/14,,,,,,,,,,,,,,,,,,,,DEN,DET,10/29/14,2015,0,DET,1473.0493,1389.2994,0.742260228,0.257739772,89,79
6,,,,,,,,,,,,,,,,,,,W,IND,PHI,10/29/14,,,,,,,,,,,,,,,,,,,,IND,PHI,10/29/14,2015,0,PHI,1532.6748,1316.4243,0.860624219,0.139375781,103,91
7,,,,,,,,,,,,,,,,,,,W,MEM,MIN,10/29/14,,,,,,,,,,,,,,,,,,,,MEM,MIN,10/29/14,2015,0,MIN,1578.4064,1513.3354,0.721160437,0.278839563,105,101
8,,,,,,,,,,,,,,,,,,,W,MIA,WAS,10/29/14,,,,,,,,,,,,,,,,,,,,MIA,WAS,10/29/14,2015,0,WAS,1579.3748,1541.4388,0.688694588,0.311305412,107,95
9,,,,,,,,,,,,,,,,,,,L,NYK,CHI,10/29/14,,,,,,,,,,,,,,,,,,,,NYK,CHI,10/29/14,2015,0,CHI,1534.4419,1547.2185,0.622952301,0.377047699,80,104
