Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st White Sox Batting Tied 0-0 Indians' Carlos Carrasco facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Indians' Carlos Carrasco facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Indians' Carlos Carrasco facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Indians' Carlos Carrasco facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Indians' Carlos Carrasco facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Indians' Carlos Carrasco facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Indians' Carlos Carrasco facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Indians' Carlos Carrasco facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Indians' Carlos Carrasco facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Indians' Carlos Carrasco facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Indians' Carlos Carrasco facing 1-2-3,Top of the 1st White Sox Batting Tied 0-0 Indians' Carlos Carrasco facing 1-2-3
t1,0-0,0,---,4(1-2) CCBS,O,CHW,Leury Garcia,Carlos Carrasco,2%,52%,Strikeout Swinging
t1,0-0,1,---,3(0-2) SSS,O,CHW,Yoan Moncada,Carlos Carrasco,2%,54%,Strikeout Swinging
t1,0-0,2,---,2(1-0) BX,,CHW,Jose Abreu,Carlos Carrasco,-1%,53%,Single to 3B (Ground Ball to SS-3B Hole)
t1,0-0,2,1--,1(0-0) X,O,CHW,Yonder Alonso,Carlos Carrasco,2%,55%,Flyball: CF (Deep CF)
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. White Sox 0 Indians 0.,0 runs 1 hit 0 errors 1 LOB. White Sox 0 Indians 0.,0 runs 1 hit 0 errors 1 LOB. White Sox 0 Indians 0.
Bottom of the 1st Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 1-2-3,Bottom of the 1st Indians Batting Tied 0-0 White Sox' Manny Banuelos facing 1-2-3
b1,0-0,0,---,6(3-2) CBSBBX,O,CLE,Francisco Lindor,Manny Banuelos,-2%,53%,Lineout: 3B (SS-3B Hole)
b1,0-0,1,---,2(0-1) FX,O,CLE,Jason Kipnis,Manny Banuelos,-2%,51%,Groundout: 2B-1B (2B-1B)
b1,0-0,2,---,4(2-1) BBCX,,CLE,Jose Ramirez,Manny Banuelos,1%,52%,Single to CF (Ground Ball thru SS-2B)
